,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
65,0.696,0.623,-8.738,0.0438,0.466,8.61e-06,0.0983,0.965,154.028,2NWaWZZLFMcr5P4uI2KvWy,223431
66,0.761,0.477,-4.32,0.0514,0.805,0.0,0.163,0.967,112.276,7kIDShjwKNfhXv1dNfT9ec,208680
67,0.689,0.811,-2.499,0.0399,0.362,0.0,0.353,0.91,113.93,4irQHeQLap1F8Roqj3xJXW,163422
68,0.524,0.498,-5.238,0.0517,0.32,0.0,0.14,0.93,184.799,51tc4qhcssnwHV683Pq8H3,178987
69,0.495,0.432,-4.961,0.0414,0.493,0.0,0.097,0.711,78.499,3f615FYAufUocTYlEMh3Fv,187320
70,0.743,0.729,-5.664,0.0629,0.173,0.0,0.11,0.83,96.023,1kKfwNFyWF2qN3vjE4H58p,208125
71,0.594,0.527,-9.335,0.0335,0.121,0.0,0.234,0.692,172.712,5JhUm1v5AbI5Yu6jLKCPRO,194019
72,0.79,0.543,-6.952,0.0298,0.128,1.76e-06,0.153,0.794,122.451,3IFYbBUCjCelWt5asaYasY,171621
73,0.851,0.542,-8.152,0.122,0.361,3.73e-06,0.132,0.789,101.896,1kNC7b4zXbqoceKpkGdnD8,196437
74,0.746,0.37,-6.309,0.0306,0.456,0.0,0.106,0.595,97.568,3bvJftZKZe5QKz433NczyV,167692
75,0.611,0.723,-6.571,0.213,0.218,0.0,0.0715,0.669,195.181,3jRZg6U0m9Ir115Wt66ebU,234593
76,0.784,0.732,-6.006,0.0536,0.242,0.0,0.203,0.681,98.052,3T5F6ulZvDzBQwq3wS31xZ,212915
77,0.794,0.677,-9.969,0.0713,0.446,0.0313,0.076,0.611,101.467,7Jph6HJbfURt4Fea19IED3,170496
78,0.699,0.51,-7.153,0.0352,0.498,0.0,0.22,0.625,98.07,7cZoAjj5vufdREBJZGW2lH,172227
79,0.603,0.671,-4.008,0.0761,0.145,0.0,0.0525,0.662,138.77,1WHml9IbQkFUtVz8ZXEkUb,213141
80,0.836,0.581,-7.525,0.0557,0.463,0.000463,0.122,0.613,109.48,2L4gbQNTxISQndSblNUwJJ,225767
81,0.707,0.618,-6.871,0.0322,0.343,0.0,0.105,0.53,106.313,6EZXRINHTCGDwZzboCgDML,217771
82,0.606,0.29,-9.84,0.0378,0.65,0.0,0.0809,0.643,144.583,1bnSKjuPEd8FPACxqA5Mos,182073
83,0.408,0.47,-10.149,0.0893,0.666,5.44e-05,0.0926,0.0953,51.66,4lUsBLTAiufWocWtg4H0my,234613
84,0.794,0.599,-4.696,0.0447,0.493,4.73e-06,0.0417,0.967,115.418,0MtDgKq4LQwyQxwTDVhCUw,140547
85,0.555,0.707,-7.665,0.12,0.644,1.07e-05,0.101,0.963,185.914,7MyOq9tWhL9bGHeeG5Iz5p,122097
86,0.665,0.469,-5.809,0.028,0.23,0.0,0.234,0.383,97.972,1kJXYVVUu7o3B9gaJpoxjm,151773
87,0.774,0.748,-7.086,0.0352,0.331,0.0057,0.126,0.714,135.929,5PfFHceiEv61KldMOuVrv8,186828
88,0.794,0.594,-8.698,0.139,0.283,0.000381,0.109,0.637,99.238,4w273WCBXwM4P3jTX5HkB2,160897
89,0.784,0.737,-2.174,0.0758,0.0877,0.0,0.1,0.623,97.5,3ZGkdrigbWXLgHungXfZkt,135612
90,0.78,0.793,-4.987,0.0392,0.11,0.0,0.28,0.783,115.01,4yTTya8odDhObFpaoUL23T,189751
91,0.627,0.652,-6.849,0.0349,0.106,4.6e-06,0.103,0.667,154.956,3MjFu8fCCH2gSUxc9IVOdA,172547
92,0.639,0.516,-4.418,0.0296,0.391,0.0,0.259,0.759,94.931,49A0SKbXyTUyk5uw8fXzFi,191880
93,0.751,0.601,-5.912,0.0828,0.533,0.0,0.377,0.56,100.994,3XfUFGzbr0LmwFVoLXd9cO,163940
94,0.777,0.682,-6.656,0.0276,0.485,1.97e-06,0.129,0.927,133.853,7JZCzh0bOodHRR4ctUdWft,180271
95,0.736,0.593,-9.364,0.184,0.117,2.5e-06,0.189,0.785,114.196,0vNtFN67TIMgDokyyuUUwA,183595
96,0.712,0.604,-9.63,0.0285,0.297,0.00159,0.345,0.489,101.46,358qSGpL4SSy7tRoj6gsmS,246252
97,0.588,0.866,-3.509,0.105,0.271,0.0,0.0502,0.952,178.145,607ZGkxOxHJUVDEU3MZl86,241107
98,0.677,0.657,-4.657,0.0596,0.498,0.0,0.0562,0.812,116.225,6ggHV1SCPqLLV5U2kyW9qD,215984
99,0.645,0.712,-5.787,0.188,0.208,0.0,0.3,0.805,136.724,46FdwGMcgz6gik4RCpWBAW,148793
100,0.855,0.59,-8.55,0.0751,0.28,0.0982,0.149,0.283,110.016,3K56RPWS4q200IwHiIZcUD,137184
101,0.743,0.89,-5.451,0.0837,0.366,0.0,0.0966,0.809,107.635,5IdyvWCaUa7AgTxMsFj0wB,196864
102,0.609,0.515,-9.843,0.0486,0.539,0.0839,0.0722,0.853,152.787,0OLLsFyVPrjI3iL03lDFXk,186709
103,0.676,0.441,-6.929,0.0253,0.726,0.0,0.0884,0.515,140.091,57GWBz1UtT6iei1jrbkovI,171724
104,0.588,0.452,-4.75,0.0268,0.437,0.0,0.344,0.734,139.953,0UXlu64mDLvfzR8IXMz06J,185723
105,0.702,0.586,-5.317,0.118,0.55,0.0,0.27,0.965,112.852,5kpxVMDvYGRmNqawPqDTYR,158093
106,0.571,0.567,-6.873,0.0994,0.431,0.0,0.129,0.967,165.332,1RGlfmdvcfatN0ZLOmzanS,196500
